,loss,iou,dice_coef,val_loss,val_iou,val_dice_coef
586,0.10666488856077194,0.8122575879096985,0.8946762681007385,0.2580322027206421,0.5932987928390503,0.7419677972793579
587,0.10485062748193741,0.822795033454895,0.9008443355560303,0.34002685546875,0.5011869668960571,0.65997314453125
588,0.10117624700069427,0.8149881958961487,0.896043598651886,0.19186753034591675,0.6809806227684021,0.8081324696540833
589,0.11295152455568314,0.7986812591552734,0.8856778740882874,0.22546923160552979,0.6353155374526978,0.7745307683944702
590,0.11332479119300842,0.7963049411773682,0.8836702704429626,0.22828882932662964,0.631626307964325,0.7717111706733704
591,0.11552051454782486,0.7924505472183228,0.8818289637565613,0.2310473918914795,0.6269574761390686,0.7689526081085205
592,0.09967857599258423,0.8181414008140564,0.898125410079956,0.3006179928779602,0.5437391400337219,0.6993820071220398
593,0.11046118289232254,0.8045856356620789,0.8902654051780701,0.26076817512512207,0.5898500680923462,0.7392318248748779
594,0.10287444293498993,0.8150344491004944,0.8954412341117859,0.3754650354385376,0.46004343032836914,0.6245349645614624
595,0.14866773784160614,0.7740575671195984,0.8513322472572327,0.2256256341934204,0.6350869536399841,0.7743743658065796
596,0.11016521602869034,0.806206464767456,0.8903563022613525,0.2379535436630249,0.6181644797325134,0.7620464563369751
597,0.09369543194770813,0.8336433172225952,0.9081789255142212,0.2555118799209595,0.5974931716918945,0.7444881200790405
598,0.11150547862052917,0.8017337322235107,0.8869293928146362,0.2751176357269287,0.5713601112365723,0.7248823642730713
599,0.09410426765680313,0.8342135548591614,0.908446729183197,0.23861795663833618,0.6177048683166504,0.7613820433616638
600,0.10684940218925476,0.8201717734336853,0.8989199995994568,0.25364363193511963,0.5992668867111206,0.7463563680648804
601,0.09159273654222488,0.8311412930488586,0.9059916138648987,0.2264842987060547,0.6334348320960999,0.7735157012939453
602,0.09006556868553162,0.8383570909500122,0.9109891653060913,0.24404317140579224,0.6107754111289978,0.7559568285942078
603,0.1143951341509819,0.8087921738624573,0.8918748497962952,0.21026301383972168,0.6560394763946533,0.7897369861602783
604,0.11326225101947784,0.7860531806945801,0.8734650611877441,0.3876715302467346,0.4454854428768158,0.6123284697532654
605,0.15637005865573883,0.7253256440162659,0.8366866707801819,0.5719180107116699,0.2789197266101837,0.42808201909065247
606,0.13509254157543182,0.778020977973938,0.872248649597168,0.3695550560951233,0.46564334630966187,0.6304449439048767
607,0.10988068580627441,0.8052582144737244,0.8902541995048523,0.43118369579315186,0.40305250883102417,0.5688163042068481
608,0.11481478810310364,0.7965983152389526,0.8848243355751038,0.3234407305717468,0.5168363451957703,0.6765592694282532
609,0.10946052521467209,0.81004798412323,0.8935158252716064,0.20610153675079346,0.6617138385772705,0.7938984632492065
610,0.10264971107244492,0.8079116344451904,0.8900508284568787,0.33714669942855835,0.49993863701820374,0.6628533005714417
611,0.11142757534980774,0.8092103004455566,0.8920504450798035,0.302349328994751,0.5391296744346619,0.697650671005249
612,0.1560366302728653,0.7541015148162842,0.8439632654190063,0.2571919560432434,0.5935580730438232,0.7428080439567566
613,0.1056659072637558,0.8151782751083374,0.8967967629432678,0.22863900661468506,0.6305257678031921,0.7713609933853149
614,0.10805600136518478,0.8057616949081421,0.8905336856842041,0.23840397596359253,0.61849045753479,0.7615960240364075
615,0.09789787977933884,0.8253723978996277,0.9028344750404358,0.21103668212890625,0.6542202830314636,0.7889633178710938
616,0.10195648670196533,0.8195021152496338,0.8993700742721558,0.23116731643676758,0.6279264688491821,0.7688326835632324
617,0.10042189806699753,0.8217778205871582,0.9006029367446899,0.24969267845153809,0.6043534874916077,0.7503073215484619
618,0.09380660206079483,0.8344573974609375,0.9081510901451111,0.20231753587722778,0.6659515500068665,0.7976824641227722
619,0.10020375996828079,0.8300495743751526,0.9052891731262207,0.21566689014434814,0.6478153467178345,0.7843331098556519
620,0.10083620995283127,0.8212974667549133,0.900051474571228,0.22930419445037842,0.6301327347755432,0.7706958055496216
621,0.09665653109550476,0.8281754851341248,0.9044501185417175,0.25565898418426514,0.5958694815635681,0.7443410158157349
622,0.10872713476419449,0.8065094947814941,0.8912065029144287,0.2497349977493286,0.6043246984481812,0.7502650022506714
623,0.10258060693740845,0.81878262758255,0.898463249206543,0.20713293552398682,0.6588894724845886,0.7928670644760132
624,0.10504289716482162,0.8165472149848938,0.8974486589431763,0.23150646686553955,0.6278100609779358,0.7684935331344604
625,0.09537310153245926,0.8330500721931458,0.9065437912940979,0.20073550939559937,0.6694971323013306,0.7992644906044006
626,0.10307498276233673,0.8119436502456665,0.8926452398300171,0.23362809419631958,0.6250686049461365,0.7663719058036804
627,0.10492240637540817,0.8221166729927063,0.9002759456634521,0.19626343250274658,0.674431324005127,0.8037365674972534
628,0.10636210441589355,0.8007894158363342,0.8849878907203674,0.1903502345085144,0.6828349232673645,0.8096497654914856
629,0.14835523068904877,0.7747007012367249,0.85164475440979,0.21649152040481567,0.6465772986412048,0.7835084795951843
630,0.09644164144992828,0.8258784413337708,0.9033332467079163,0.21456485986709595,0.6490992903709412,0.785435140132904
631,0.10786163061857224,0.8105035424232483,0.8920490741729736,0.2894795536994934,0.5555934906005859,0.7105204463005066
632,0.10187570005655289,0.8168941736221313,0.8972346186637878,0.20605015754699707,0.6606447696685791,0.7939498424530029
633,0.09383616596460342,0.8397169709205627,0.9112652540206909,0.30394041538238525,0.5395979881286621,0.6960595846176147
634,0.08953502029180527,0.84007728099823,0.9119606018066406,0.23663967847824097,0.6199907660484314,0.763360321521759
635,0.10313362628221512,0.8174465894699097,0.8980008363723755,0.21693390607833862,0.6464917659759521,0.7830660939216614
636,0.09385192394256592,0.8298553228378296,0.9058099389076233,0.2822610139846802,0.564004123210907,0.7177389860153198
637,0.0934777706861496,0.8319463133811951,0.9067279100418091,0.290871262550354,0.554506778717041,0.709128737449646
638,0.09827762842178345,0.813883900642395,0.8944810628890991,0.27013474702835083,0.5784657597541809,0.7298652529716492
639,0.08552239835262299,0.8485154509544373,0.9167221784591675,0.206559419631958,0.6599114537239075,0.793440580368042
640,0.09923684597015381,0.8196446895599365,0.8987637758255005,0.22427517175674438,0.6365602612495422,0.7757248282432556
641,0.10328910499811172,0.8094000816345215,0.8880025744438171,0.2336617112159729,0.6236878633499146,0.7663382887840271
642,0.10464084148406982,0.8143569827079773,0.8959529995918274,0.1822618842124939,0.6937106847763062,0.8177381157875061
