Epochs,loss,std_loss,iou,std_iou,dice_coef,std_dice,val_loss,std_val_loss,val_iou,std_val_iou,val_dice_coef,std_val_dice
100,0.24153508692979808,0.025190002503505518,0.6104898691177368,0.03231272054020966,0.7483645498752594,0.02646015369556982,0.3941611289978027,0.12388713301901273,0.44866008758544923,0.1295839833291626,0.6058388739824295,0.12388712820076143
200,0.18042322695255278,0.03780198077473148,0.6935907304286957,0.054047469067764094,0.8084700167179107,0.044962496629284636,0.31332027912139887,0.1346292428531624,0.5404721796512604,0.15216441491096436,0.6866797208786011,0.1346292428531624
300,0.15955609083175656,0.0163068582975984,0.7319542706012726,0.024790523987471513,0.841217714548111,0.016461054997475317,0.24871194958686826,0.07809306702016454,0.6101918786764144,0.09510971480842337,0.7512880504131317,0.07809306702016452
400,0.1672982484102249,0.06779370762032848,0.7199462950229645,0.08424850282119153,0.8273630321025849,0.06673912557389758,0.28082553744316097,0.1096775852968524,0.5741590082645416,0.1271875002409531,0.719174462556839,0.10967758529685238
500,0.15264407992362972,0.03848528477818156,0.7437199950218201,0.05537529440488916,0.8465454995632171,0.03985002204074933,0.2619147956371307,0.09718072349492843,0.5962968438863754,0.11802954060431592,0.7380852043628693,0.09718072349492841
600,0.13109836578369136,0.01881727564188744,0.774724155664444,0.028864482556658147,0.8699174344539642,0.018779330370677173,0.21467521190643307,0.03214557153300373,0.6498387932777405,0.04463293790236695,0.7853247880935669,0.03214557153300373
700,0.1119337491691112,0.020494479671680173,0.7991125881671906,0.03333302881656022,0.8822983205318451,0.023571763862065612,0.23497325181961057,0.06504773793985,0.6266104429960251,0.08192162622961816,0.7650267481803894,0.06504773793985001
800,0.1608855634927749,0.02213693185667006,0.7511641263961792,0.03093874823560915,0.8391143977642059,0.022136936801288063,0.22718153595924373,0.060139199689018354,0.6354997247457504,0.07862859495470131,0.7728184640407563,0.06013919968901835
900,0.11240174919366833,0.03367485400977094,0.801358300447464,0.05155725812479556,0.8848388612270355,0.033866071789199315,0.25685806870460504,0.10174543138675231,0.6022856056690216,0.11573312384722857,0.7431419342756271,0.10174542312157885
1000,0.10392273217439647,0.02664798559755123,0.8141804933547974,0.03892049392798334,0.8916449666023254,0.025756775610411852,0.2260586321353912,0.052569015823950384,0.6366563320159913,0.06792091868184966,0.7739413678646088,0.05256901582395039
