Epochs,loss,std_loss,iou,std_iou,dice_coef,std_dice,val_loss,std_val_loss,val_iou,std_val_iou,val_dice_coef,std_val_dice
1,0.9867065787315369,0.0019153744063513116,0.00675580813549455,0.0009817208260846993,0.01329341195523733,0.001915388889424557,0.9908970415592193,0.003972592267460885,0.00461104013957078,0.002008548624791415,0.00910296062938864,0.003972583128080981
2,0.9792736053466797,0.0030476233351540154,0.01059053894132372,0.0015957356821813746,0.02067400030791755,0.0030703782431277483,0.9906897485256195,0.0020011634425057636,0.00471215951256449,0.001010846288827283,0.00931025356985622,0.002001162992237448
3,0.9741912245750427,0.004680339669411317,0.01361619681119914,0.003126376644432247,0.02646685633808369,0.005934331197650153,0.9892387509346008,0.0038156171850762775,0.00545246291439974,0.0019297425860287946,0.01076125274412328,0.003815622719836492
4,0.967418885231018,0.006261557663216561,0.01683896491304035,0.0032202689831420457,0.03258545435965055,0.00608326232323048,0.9887950956821442,0.0037319511277935924,0.00567828291095789,0.0018877507466904862,0.0112049093469977,0.003731955596150463
5,0.9614377915859222,0.010616714732826247,0.01978903282433744,0.005596618848588979,0.03815030343830581,0.010522315222679275,0.989506584405899,0.004445298176375388,0.00532794385217125,0.0022378895249842027,0.01049342046026135,0.004445298669798891
6,0.9531115710735321,0.015587826388670534,0.02422103974968191,0.00746713293167679,0.04639667719602581,0.013877168384618027,0.9904629945755005,0.0035279607065405636,0.00483430474996563,0.0017824631570851565,0.0095370110124349,0.0035279653504029507
7,0.9386180698871612,0.01494634534552266,0.03158618025481697,0.00829347723573057,0.06013066992163655,0.015238435375862036,0.9898280680179596,0.004982563717775503,0.0051553532248362404,0.0025200742560883686,0.0101719303289428,0.004982564926350011
8,0.9344363689422608,0.017724287861772277,0.03563798461109394,0.009926501382846375,0.06729586683213708,0.01795204653460247,0.9890886068344117,0.0052329608724415175,0.00553321887273336,0.0026584098847868207,0.01091139260679479,0.005232969642828936
9,0.9197501122951508,0.023306936678381202,0.04158318638801571,0.012457545787191906,0.07820126004517074,0.022498726066826832,0.990460991859436,0.004326585021169263,0.00484137802850448,0.0022044005722234848,0.00953901289030905,0.004326579440256673
10,0.9199608623981476,0.023316557764405513,0.04135764334350819,0.011620410304113059,0.07762750722467897,0.020982245502887097,0.9875267863273621,0.004082471155646745,0.00632617103401565,0.0020788740994026294,0.01247321693226691,0.004082465121206988
11,0.9071984887123108,0.027111876989238202,0.05055930688977237,0.017825506868171144,0.09368780665099616,0.0310665858466681,0.9840643107891083,0.007516371019714238,0.00810500418301667,0.003849194238931275,0.01593568967655297,0.007516370136117457
12,0.9066253960132599,0.02586112308917986,0.05066238399595016,0.014157968253282216,0.09410829804837698,0.025028892660062047,0.9841434836387635,0.011331499671020418,0.00808866065926845,0.00584637620092103,0.01585650811903173,0.011331502257361218
13,0.9014416694641113,0.028046812534643664,0.05371049679815762,0.01704715374772598,0.09919364564120765,0.02962006120868301,0.9772684872150421,0.013261158091973086,0.01161446345504368,0.006858194881379837,0.02273151664994651,0.013261162255357574
14,0.8971533000469207,0.02602114939127443,0.05798926893621679,0.018247808671892154,0.10664723888039584,0.03140645946278669,0.9816443145275116,0.009217351430834261,0.00934712714515621,0.004698243017748294,0.01835568486712869,0.009217361226928575
15,0.8897458791732787,0.02678380255772494,0.05982960090041156,0.014344045813411947,0.11018925085663792,0.02479815364197768,0.9827311038970947,0.007724584711544598,0.00879399939440185,0.003961780747596666,0.01726889172568912,0.007724589057140282
16,0.8831582307815552,0.03275387089953808,0.06293686181306835,0.018609272419777157,0.11545024812221524,0.03228645742141546,0.9719916224479676,0.01786950005028245,0.014389176107943,0.009289166224171704,0.02800838202238078,0.017869494351035513
17,0.8777647376060486,0.035575995165814014,0.06483302116394038,0.0201166672536194,0.11865159049630161,0.034553488778012134,0.9644497334957123,0.024515647986682588,0.01837528911419208,0.012948675372740203,0.03555026678368444,0.024515641240901085
18,0.8719993472099304,0.034970675776357284,0.06990699023008343,0.02039814678815461,0.12800066918134684,0.03497066901192598,0.962671571969986,0.022248109202737603,0.01928500928916032,0.011735449826365207,0.03732842719182368,0.022248115738605186
19,0.8606873512268066,0.038122646489882804,0.07450223267078396,0.022025869519592473,0.13504577130079265,0.037424375041023125,0.9603206992149353,0.021024894022695452,0.02049036445096131,0.01104640627696547,0.03967931158840652,0.021024879585429507
20,0.8499685525894165,0.04624914212054954,0.08307882808148857,0.028969678680539502,0.14888114556670184,0.04777922571592383,0.9627085328102112,0.014920625934265467,0.01920546256005758,0.007812374214995725,0.03729147668927905,0.014920624672549758
21,0.8449975371360778,0.04430450295516986,0.0854536056518554,0.026822623936115148,0.153246446698904,0.04497208812596018,0.9492724239826202,0.023185958452428948,0.02636605808511371,0.012409485187136034,0.05072757396847004,0.023185950393531572
22,0.8350178003311157,0.04888916696278325,0.09360969774425024,0.029610873113010673,0.16631735190749164,0.048558119421330946,0.9475583136081696,0.020853375396349953,0.02724876282736655,0.011060618734998058,0.05244169030338523,0.02085338089590845
23,0.8256752073764801,0.050373261680764794,0.09529963172972197,0.02907983925649045,0.16896109431982037,0.04710309891431092,0.9428716361522674,0.02856892639585871,0.02989090569317337,0.015405638173196946,0.05712836254388091,0.028568923932754932
24,0.8187236785888672,0.05034175189492462,0.09997238926589486,0.02927819340508163,0.17720246538519857,0.04790853990824003,0.9226913034915925,0.045564366688537854,0.0410592147149145,0.025104684841108067,0.07730870135128495,0.04556436784358663
25,0.8159276425838471,0.058662431982469884,0.10382556021213526,0.03876423966401616,0.18227419629693029,0.06202106099281979,0.9211897730827332,0.04176278088938751,0.04180682683363553,0.023216260001795615,0.07881023138761516,0.04176277791155319
26,0.8048321306705475,0.05384374708338273,0.10638837218284601,0.03261501124722384,0.18661595955491064,0.052107068139146666,0.908824360370636,0.05870968338187247,0.04909460199996826,0.03330078110279293,0.09117563888430594,0.05870967816348495
