Checkpoint (epoch),Learning rate,Batch size, train dice mean,train dice std,train iou mean,train iou std,train loss mean,train loss std, val dice mean,val dice std,val iou mean,val iou std,val loss mean,val loss std
100,1e-4,32,0.31174923992203546,0.20304567170156862,0.051651151644275146,0.024006865035470885,0.5661054791212081,0.24766652222976596,0.05128528552289401,0.022839148175400396,0.4276877387780696,0.24412623905950007,0.0438409200070589,0.0204281333665527
200,1e-4,32,0.48658291138731874,0.22737894245145177,0.03933685638045569,0.02298909060528018,0.38646666621416803,0.25141879504841813,0.041005343963810566,0.021456699540389732,0.6070370132336392,0.2495521396132927,0.04022537101658035,0.01829264464650351
300,1e-4,32,0.5588929740688764,0.21220561963530069,0.03711195487164559,0.02200961904437524,0.317234614804387,0.2275454149496138,0.038961597893176804,0.02076630881645172,0.6771027696734915,0.22669099356739886,0.04144181818124114,0.019248988129329864
400,1e-4,32,0.6024290924818487,0.19879570653490528,0.03603156077587034,0.02251797346151478,0.27764780750311907,0.2087224214526245,0.03795146617248495,0.02150361380450503,0.717414580122102,0.20845530141141236,0.04240418515841406,0.021348404488385597
500,1e-4,32,0.6298326867469586,0.1862724620936317,0.037174095066449905,0.023876914172913773,0.2532002398192882,0.19312930778854098,0.039086130476720056,0.02305146222328728,0.7423265445310623,0.19314292278807602,0.04522108052496209,0.023294981140968504
600,1e-4,32,0.6521802776860228,0.177323070384686,0.035149684611449045,0.022665025812916528,0.2339397860479851,0.18153538594062463,0.03711246812684417,0.02192358650529479,0.7619343299334869,0.18173504574899513,0.044000705620411036,0.02214211017981782
700,1e-4,32,0.6710911443920673,0.17066543343241292,0.03322460608555807,0.02197217302479398,0.2182943739401442,0.17243229397613002,0.03515761262693447,0.021354489430588437,0.7779555813385439,0.17281968918434748,0.04245331209653851,0.02166264603175161
800,1e-4,32,0.6854753962536925,0.16417217290813269,0.03243583675177255,0.02098208995051156,0.2064543177261948,0.16434462982378825,0.0342906103561721,0.020437669170686734,0.7900538654376287,0.1648324755838224,0.042184976546059454,0.020831490499228333
900,1e-4,32,0.698327301310634,0.1590625991199154,0.03150116825721704,0.020264028186978558,0.1961546368830733,0.15769993022115353,0.03338830343859095,0.019793726417029308,0.8005425893774049,0.1582523197135899,0.04166026018147128,0.02029302814916337
1000,1e-4,32,0.7093609475102741,0.15458940914717184,0.031090360563045365,0.02121036051449262,0.18747404516711824,0.1519384915067344,0.03294350380081059,0.020783314056249245,0.8093682751240209,0.15252919932487427,0.04152492585614833,0.02125566486800141
