Epochs,loss,std_loss,iou,std_iou,dice_coef,std_dice,val_loss,std_val_loss,val_iou,std_val_iou,val_dice_coef,std_val_dice
608,0.1908930540084839,0.021110117842998797,0.7057096540927887,0.029328024352830547,0.8087222933769226,0.021155088426787653,0.18440311551094052,0.05145110450584671,0.6932175576686859,0.06968554210521648,0.8155968844890594,0.0514511045058467
609,0.18592469096183772,0.020245655102298168,0.7132139801979065,0.022200889884230794,0.8158159136772156,0.018963802183279182,0.19296885728836055,0.047087633805764535,0.6807203948497772,0.06485456941091045,0.8070311427116394,0.04708763380576452
610,0.1751959934830665,0.012490114692250684,0.7254395008087158,0.014149250574630136,0.8266411423683167,0.010616518709104935,0.21940004825592038,0.054799475042610964,0.6458655774593354,0.07259285869398704,0.7805999517440796,0.054799475042610964
611,0.17173022776842115,0.011574180797622664,0.7270975410938263,0.01784829334947095,0.8273115813732147,0.01759791072830359,0.1797164142131805,0.05034723606085826,0.6996487736701965,0.06892987691901545,0.8202835857868195,0.05034723606085827
612,0.17103257328271862,0.010400573248460871,0.7329679787158966,0.01053659165060357,0.8336046397686004,0.009587691269846089,0.17922654747962946,0.03892743421854197,0.6994089961051941,0.054964417643054306,0.8207734525203705,0.03892743421854198
613,0.17843396961688993,0.011479056958684933,0.7200201690196991,0.01574738502239628,0.8215660333633423,0.011479059266717224,0.20970780849456783,0.04940241510713107,0.6580820798873901,0.0655378291985996,0.7902921915054322,0.04940241510713107
614,0.13506504446268078,0.007706494679973015,0.7668009161949157,0.011164808672525884,0.8655292153358459,0.007474515924546576,0.2067589998245239,0.05713119174676744,0.6628113746643066,0.07694155691959068,0.793241000175476,0.05713119174676743
615,0.17162638455629345,0.01686299149724883,0.7322669982910156,0.020466681617628876,0.8307353675365448,0.01734806000309752,0.22788465619087217,0.061491911616519714,0.6352780193090439,0.07700213139955861,0.7721153438091278,0.06149191161651971
616,0.17508571594953531,0.012535813855143562,0.7323051273822785,0.01788142120849364,0.827371484041214,0.015125667408952922,0.1907369792461395,0.06006244759400118,0.6854447662830353,0.08167243451750585,0.8092630207538605,0.06006244759400116
617,0.1774876475334167,0.012250183567428848,0.7239844322204589,0.018341586617477514,0.8229801654815674,0.014603091305703583,0.20056813955307,0.04451935092127867,0.6701317727565765,0.05981464030656191,0.7994318604469299,0.04451935092127866
618,0.16582019627094266,0.0167052299034565,0.7415338397026062,0.01764707029338719,0.8375952243804932,0.016430924249672095,0.1909564614295959,0.05591064480449983,0.6845460772514343,0.07690714480259034,0.809043538570404,0.05591064480449982
619,0.17290095090866087,0.029060837604461393,0.7306959211826325,0.037522640445762874,0.8289506793022156,0.029901756954722872,0.18905359506607053,0.049680572282400415,0.6864924907684327,0.07008104522137325,0.8109464049339294,0.04968057228240042
620,0.17676227986812587,0.022652229534388887,0.7215836822986603,0.03303055690646502,0.8240982294082642,0.025343692353947626,0.2002709686756134,0.04425192466176727,0.6704903364181518,0.06206685927560592,0.7997290313243866,0.04425192466176727
621,0.16836391687393185,0.012230104091609798,0.7310185849666595,0.021191142900941238,0.8318216562271118,0.015487656276416396,0.1927027344703674,0.06106724153296641,0.6827481746673584,0.08197663685660797,0.8072972655296325,0.061067241532966395
622,0.16973025947809217,0.016636914155098888,0.7295136868953704,0.028340189333090487,0.8288120746612548,0.020617221672376396,0.19216960072517392,0.03149438823720326,0.6805855453014373,0.04463243130706204,0.807830399274826,0.031494388237203276
623,0.17267543673515315,0.01490670876563051,0.727161580324173,0.023955065134418193,0.82431960105896,0.02010286898973353,0.19809471964836117,0.06664285323274596,0.67563097178936,0.08518998259143823,0.8019052803516388,0.06664285323274595
624,0.18275929838418958,0.019172357721908215,0.713938969373703,0.02739604157742811,0.8143205404281616,0.024045850819476387,0.19674068093299862,0.06007619376708767,0.6769148468971252,0.0838907980791119,0.8032593190670013,0.0600761937670877
625,0.18398004472255705,0.026873722579248693,0.7146042287349701,0.040594725266432354,0.8162680864334106,0.030020362051709902,0.21081741452217098,0.12817666499340646,0.6675024926662445,0.14510585275633492,0.7891825884580612,0.1281766559665579
626,0.1751242950558662,0.039006977758149534,0.7246074318885803,0.049644257908498704,0.8247072339057923,0.03791874346525776,0.19883516430854795,0.058217583745042455,0.6739831984043121,0.07983578925077085,0.801164835691452,0.05821758374504246
627,0.18082197457551952,0.027414426842778276,0.7173845887184143,0.034141695119289425,0.8209436476230622,0.026243874977506427,0.2046870112419128,0.04970959138478783,0.6650107979774476,0.06871048146205619,0.7953129887580872,0.04970959138478782
628,0.17581208944320675,0.019579005408047485,0.7208404779434204,0.029789435676046222,0.8222606599330902,0.024678940074124765,0.2088249802589416,0.06398499176721784,0.6611402451992034,0.0843797946462424,0.7911750197410583,0.06398499176721784
629,0.18040800690650938,0.02318522885479167,0.7203413128852845,0.038780235013866786,0.8234795749187469,0.02643159622983359,0.21967278718948363,0.07118422198387206,0.646937245130539,0.09229892043860635,0.7803272128105163,0.07118422198387206
630,0.17906393259763714,0.015973619563185024,0.7162663638591766,0.023473948188874695,0.8209361016750336,0.01597359515298951,0.21411775350570675,0.08313554668684424,0.6565012037754059,0.10321039067925172,0.7858822464942932,0.08313554668684422
631,0.15314664319157598,0.03861856176501088,0.7397689640522003,0.0519217860570443,0.8435133695602417,0.03924432739533388,0.20095026493072507,0.08490858702287175,0.6742595613002778,0.10863881406116195,0.7990497350692749,0.08490858702287175
632,0.17996932864189144,0.020707445508837567,0.7171628296375274,0.032804034194647815,0.8200165033340454,0.02763231366679493,0.19817521572113034,0.07531751251386401,0.6768113404512406,0.0965737172436449,0.8018247842788696,0.075317512513864
633,0.1780184149742126,0.012003155577494814,0.7156240105628967,0.021892132940826533,0.8127398550510406,0.015800060083600184,0.17871685028076167,0.045363975780278044,0.7007517039775848,0.06439609845072852,0.8212831497192383,0.04536397578027804
634,0.17682588994503018,0.014580954411488902,0.7235788941383362,0.019118673540803474,0.8258612036705018,0.015594511580400233,0.18987670540809629,0.05187256109421349,0.6855018258094787,0.06776459711679458,0.8101232945919037,0.05187256109421348
635,0.17747791856527326,0.014768386923055639,0.7259031593799591,0.017485963070981533,0.8249387383460999,0.013414506284569963,0.19628597497940062,0.04592954455261773,0.6761258482933045,0.06187744705100417,0.8037140250205994,0.04592954455261773
