Epochs,loss,std_loss,iou,std_iou,dice_coef,std_dice,val_loss,std_val_loss,val_iou,std_val_iou,val_dice_coef,std_val_dice
100,0.5323755890130997,0.027641313028236164,0.3104062080383301,0.02231371054954787,0.4595091074705124,0.025027344890730392,0.5566131889820098,0.14323866566362653,0.2965635374188423,0.11839847691602749,0.4433868110179901,0.1432386632337377
200,0.24908632189035415,0.018872256430505302,0.6233394265174865,0.02780822278730834,0.7499800145626068,0.025911270012623788,0.25653454661369324,0.0931577674770193,0.6014030814170838,0.11089347200339589,0.7434654533863068,0.0931577674770193
300,0.20125791877508162,0.018898929868486413,0.6840346992015839,0.022799615155946498,0.79998020529747,0.017902158914238978,0.2901023626327514,0.25057882010039717,0.5901089723221957,0.21655274225905063,0.7098976397886873,0.2505788126463023
400,0.19164389967918394,0.020825019732169815,0.693398505449295,0.02392158230301073,0.8057159781455994,0.019071866666757944,0.20479425787925717,0.042441988967657815,0.6637113749980926,0.05712456090896317,0.7952057421207428,0.04244198896765783
500,0.185478900372982,0.015571294705427114,0.712332946062088,0.023965690019274122,0.815734326839447,0.018451475415692545,0.21766727566719052,0.07307356795428044,0.6500222772359848,0.09545441948784637,0.7823327243328094,0.07307356795428044
600,0.18841582089662548,0.0268228066987981,0.7090204000473023,0.04034917345630229,0.8137784957885742,0.030752958437086614,0.20829501748085016,0.051900545379117875,0.6603979647159577,0.07053030360192705,0.7917049825191498,0.05190054537911786
700,0.17651279121637342,0.03166218740640549,0.723015958070755,0.04158100709838179,0.8223869502544403,0.031889705169427726,0.17209042310714717,0.04085282176975778,0.7098100364208222,0.058185813892115926,0.8279095768928528,0.04085282176975779
800,0.16960952579975125,0.011456358878912744,0.7352183878421783,0.013840377606739578,0.8303904831409454,0.01145635399869584,0.1613864660263061,0.03413277286608843,0.724943220615387,0.0505414552068294,0.8386135339736939,0.03413277286608844
900,0.15838280916213987,0.01346087125150899,0.751791912317276,0.019634077452299795,0.8429074287414551,0.016208296066453215,0.17577333450317378,0.03729388419388218,0.704116415977478,0.05354666475101589,0.8242266654968262,0.037293884193882174
1000,0.16563254147768017,0.026956644995612945,0.7362199187278747,0.036767935015991904,0.8349825859069824,0.028022792721673243,0.20781803131103513,0.05199526800175708,0.6609141111373902,0.0697590191326922,0.7921819686889648,0.051995268001757085
